Date,AAL_Close,AAL_Vol,AAPL_Close,AAPL_Vol,ALK_Close,ALK_Vol,AMZN_Close,AMZN_Vol,BHC_Close,BHC_Vol,CS_Close,CS_Vol,DB_Close,DB_Vol,GOOG_Close,GOOG_Vol,GS_Close,GS_Vol,HA_Close,HA_Vol,JNJ_Close,JNJ_Vol,MRK_Close,MRK_Vol,SP500_Close,SP500_Vol
10/11/2017,44.659203,2433000,42.094368,100582000,59.263355,1672200,1125.349976,2179900,15.38,19960200,15.209458,1946300,17.449091,5854200,1028.069946,720000,227.164856,1845600,34.830921,2770100,128.75737,4240800,50.759224,16743900,2582.300049,3486910000
13-11-2017,44.581234,1772400,41.925674,67928400,58.598763,1546100,1129.170044,2918400,14.6,19821000,15.057648,1833700,17.439365,4344300,1025.75,885800,227.278366,1953900,35.168148,2077900,128.941879,4322300,50.411556,13488300,2584.840088,3402930000
14-11-2017,44.649452,1827100,41.291862,99130000,58.560783,1670300,1136.839966,3138400,14.28,16274400,15.105088,1835300,17.692251,5284900,1026,959200,224.412216,3000200,35.168148,1365100,128.69281,4078200,50.310917,12705800,2578.870117,3641760000
15-11-2017,45.994492,5223100,40.747211,116632400,61.18121,2797300,1126.689941,3928700,14.45,10572300,15.076625,2464900,17.974316,7096500,1020.909973,854000,224.762207,2564100,35.842617,727800,128.333008,4811500,50.137081,11727400,2564.620117,3558890000
16-11-2017,46.472088,4461400,41.234024,94550000,62.538887,2483600,1137.290039,2213300,14.34,8341500,15.162017,1432500,18.518991,6044900,1032.5,1129700,226.427002,2304300,37.553535,1525300,128.120804,4193800,50.475597,11996300,2585.639893,3312710000
17-11-2017,46.189426,2324800,41.005077,87598000,63.042088,1819100,1129.880005,2413400,14.69,10932500,15.275875,1630800,18.606527,3859200,1019.090027,1397100,225.149994,2826400,36.345253,1701200,127.318115,4247400,50.50304,9884100,2578.850098,3300160000
20-11-2017,46.481831,2436000,40.964115,65049600,63.042095,1897100,1126.310059,2163900,15.57,21638800,15.294851,2360600,18.645433,3458800,1018.380005,953500,225.254059,2000700,36.683578,684800,127.253548,4266300,49.496639,17178700,2582.139893,3003540000
21-11-2017,47.417511,2796200,41.725651,100525200,63.127922,1416600,1139.48999,2479400,15.99,20365700,15.560517,2611000,18.489813,3398300,1034.48999,1097000,225.149994,2223800,36.973568,882800,127.631805,5660600,49.652184,13711300,2599.030029,3332720000
22-11-2017,47.42725,2326900,42.164257,102355600,62.546146,1559300,1156.160034,3555300,16.540001,21463600,15.721815,2543100,18.39255,2619500,1035.959961,746300,223.645996,2177200,37.311882,756200,126.663071,3917000,49.743668,7376200,2597.080078,2762950000
24-11-2017,47.329792,1352400,42.166676,56106800,62.374474,452400,1186,3528000,16.57,6896300,15.864138,1039500,18.664886,1581600,1040.609985,537000,223.19194,1268500,37.84354,511800,127.327347,2606800,49.725376,4341300,2602.419922,1349780000
27-11-2017,47.193333,2630800,41.954594,82867200,62.336327,1254400,1195.829956,6744000,16.48,9713100,15.626935,1716300,18.2272,3510100,1054.209961,1307900,222.397385,1999600,37.601879,706500,128.190628,3933100,49.908356,10100100,2601.419922,3006860000
28-11-2017,47.973068,3864100,41.708782,105715200,64.177048,1605500,1193.599976,4559400,16.4,11048600,15.788234,2284800,18.363367,4284900,1047.410034,1424400,226.464859,3212900,37.940193,1241000,129.972855,5052800,50.256023,12830900,2627.040039,3488420000
29-11-2017,48.002308,8154200,40.843628,166665600,65.912849,2883700,1161.27002,9257500,16.450001,16904200,15.797721,4517000,18.480085,4208500,1021.659973,2459400,229.026901,4500000,39.825123,1586600,129.777908,5851400,50.649433,10477600,2626.070068,4078280000
30-11-2017,49.210892,6016200,41.414772,166108800,65.970055,1981000,1176.75,4509200,16.75,16174400,16.034924,5385800,18.343918,3463100,1021.409973,1724000,234.985992,6364600,41.710056,1841000,129.332382,8941900,50.567089,15400400,2647.580078,4938490000
1/12/2017,47.758644,6229600,41.221973,159037200,63.814625,2765300,1162.349976,4107100,17.25,17372400,16.253149,4665500,18.460632,3862600,1010.169983,1909600,236.229065,4765400,39.535133,1824100,129.93573,5990500,51.116039,12092400,2642.219971,3942320000
4/12/2017,48.665089,7113800,40.920731,130169600,65.121231,3425200,1133.949951,5931900,17.49,13516800,16.319569,2793000,18.596802,2915100,998.679993,1906400,237.842194,3326100,41.081745,1068300,129.035309,5916700,51.43626,13440000,2639.439941,4023150000
5/12/2017,48.216732,3594000,40.882164,109400800,64.949562,1862800,1141.569946,4079800,17.75,13498300,16.015947,2667800,18.246653,3220100,1005.150024,2067300,235.640762,2526800,38.520164,1772500,129.64798,6745300,51.024548,11837200,2629.570068,3539040000
6/12/2017,48.353184,2835500,40.73035,114240000,64.69207,1198700,1152.349976,2853300,16.85,21575200,15.911579,1999000,17.993767,2881600,1018.380005,1272000,233.382339,2331400,38.278515,1326800,130.938232,5591700,49.725376,20245900,2629.27002,3229000000
7/12/2017,49.591007,3047000,40.805065,102693200,66.16082,1395100,1159.790039,2511600,17.629999,13397600,16.00646,2156000,18.33419,2271600,1030.930054,1458200,235.858963,2667000,40.018452,1155800,129.963593,4713100,50.109634,16460500,2636.97998,3292400000
8/12/2017,49.72747,3817900,40.817101,93420800,66.513687,1073400,1162,3050100,19.700001,44858900,16.537796,3405900,18.849688,6232300,1037.050049,1290800,237.55751,1959100,39.100155,983700,130.501968,5101300,50.84156,10423400,2651.5,3106150000
